size
1
3
4
6
3
3
3
1
6
1
9
12
11
2
9
2
4
2
2
2
13
1
2
3
1
1
3
1
1
1
9
1
3
3
1
2
3
25
4
6
2
3
1
2
3
1
4
6
1
1
26
2
1
2
2
2
3
2
1
1
2
1
4
2
2
2
11
1
1
4
2
3
1
6
3
6
5
9
9
6
3
2
2
5
8
5
7
17
7
20
7
2
3
1
2
5
6
29
1
4
1
1
7
5
6
2
5
1
3
5
4
2
1
2
4
4
5
2
1
2
1
4
2
5
1
8
5
1
1
1
11
1
1
4
19
13
6
2
3
2
6
11
2
5
4
5
1
2
1
3
12
6
3
1
1
1
19
3
9
2
6
1
1
5
1
1
1
1
3
1
6
6
5
1
1
7
1
2
6
2
3
10
9
14
2
4
1
3
6
1
6
7
1
1
1
3
1
6
5
1
2
1
2
8
7
1
1
1
2
10
2
9
1
1
1
1
3
2
1
2
6
11
5
2
4
1
1
2
2
5
13
8
8
1
13
1
8
1
4
8
15
1
4
11
2
1
8
1
2
8
3
12
1
9
4
2
23
1
2
4
4
1
7
2
2
1
2
6
2
3
5
1
12
6
12
4
6
5
11
1
7
8
1
1
1
1
2
7
3
4
4
5
12
1
1
2
6
9
6
8
1
9
4
1
1
4
1
2
1
1
2
4
2
1
1
12
9
3
1
1
6
2
6
2
2
2
13
3
7
1
3
1
2
4
10
17
20
15
10
1
2
2
1
2
3
1
5
5
10
1
2
4
3
2
1
2
3
2
13
2
2
2
3
3
11
2
5
2
3
1
10
5
6
1
4
5
11
1
1
1
2
6
10
5
16
3
10
1
14
4
1
2
2
3
6
2
4
3
3
5
9
4
1
12
2
5
4
1
4
6
8
2
1
2
4
1
6
6
5
3
1
15
1
3
2
6
1
4
1
1
5
9
5
2
1
1
15
1
2
5
1
1
3
3
1
1
37
5
1
1
2
25
1
2
2
2
1
8
2
3
4
3
10
4
7
1
2
14
3
19
12
6
6
1
1
1
2
4
3
2
2
7
4
2
3
13
2
6
11
8
8
3
3
1
53
9
11
4
2
3
1
4
9
7
3
1
1
3
1
1
12
3
1
8
13
1
5
1
19
5
3
2
1
11
1
1
5
48
5
14
4
2
2
1
1
5
32
2
3
4
8
4
6
1
1
2
1
1
2
1
2
2
1
3
3
1
1
1
1
12
1
1
2
1
6
3
1
2
5
4
7
1
7
10
3
1
5
45
2
4
1
1
1
10
3
14
1
5
18
7
8
9
3
2
3
4
6
2
2
6
3
19
21
1
6
1
7
3
9
1
5
2
4
2
4
2
3
1
2
21
3
2
10
1
28
1
3
21
2
2
1
3
3
5
5
1
1
1
1
14
2
1
7
6
1
1
3
1
19
5
6
33
5
1
1
6
2
7
8
1
5
1
3
27
12
1
13
2
1
1
4
1
2
4
3
1
2
4
4
2
6
4
5
7
1
18
10
1
2
17
6
2
12
1
2
9
7
14
6
11
1
9
1
17
10
1
2
21
8
10
2
4
8
2
7
5
3
1
5
1
1
5
4
30
3
13
13
3
1
6
8
3
3
2
3
1
1
1
19
10
4
1
1
28
1
7
4
15
8
1
1
1
1
3
4
15
3
10
1
2
10
7
9
2
1
5
2
3
1
6
4
1
4
1
7
5
1
2
9
3
22
23
1
1
2
30
6
18
20
2
4
1
6
2
5
9
1
2
1
1
1
10
6
2
9
3
3
12
8
6
32
2
2
1
2
3
2
3
5
1
3
1
6
1
3
4
1
19
15
25
1
1
5
17
2
1
1
11
5
10
2
12
29
4
12
1
27
13
1
1
8
8
1
5
6
1
1
5
10
31
3
8
14
4
5
23
9
1
5
14
21
5
5
7
1
3
4
3
7
2
1
1
7
12
1
1
1
2
1
9
5
12
1
3
2
1
1
6
4
2
31
2
1
10
2
5
5
1
2
21
3
2
3
4
2
1
2
2
1
1
1
11
