"region","estimate","stderr"
"Silves (AM)",-0.25594490201859,0.520794458498408
"Almeirim (PA)",0.12905238158715,0.138797703221128
"Castanhal (PA)",-0.135143261334162,0.104125484908375
"Igarapé-Açu (PA)",-0.0868778295218552,0.165560093609812
"Juruti (PA)",0.299477120952621,0.184984455282804
"Óbidos (PA)",0.0308762655129437,0.173288845386479
"Oriximiná (PA)",0.200179985612915,0.214299129644247
"Santarém (PA)",-0.225894698746899,0.286233328926292
"São Francisco do Pará (PA)",-0.239143612014491,0.392070465156824
"Cândido Mendes (MA)",-0.0724755980872592,0.0287524207550984
"Carutapera (MA)",-0.0531552088547696,0.0313946510748536
"Godofredo Viana (MA)",-0.0629743869833597,0.0303747858355527
"Rosário (MA)",-0.744296399409309,0.206908651257343
"Turiaçu (MA)",0.0109319915049414,0.0139776848431314
"Landri Sales (PI)",-0.017136651649342,0.0837416238506162
"Alcântaras (CE)",-0.305525403847826,0.189190544019478
"Aratuba (CE)",-0.236212150916832,0.086629162878743
"Baturité (CE)",-0.106987224249901,0.0920857969835767
"Brejo Santo (CE)",-0.0914091578185005,0.203776626566504
"Caririaçu (CE)",0.0306197471600811,0.277114125092175
"Guaraciaba do Norte (CE)",-0.208368752591654,0.115791937118539
"Guaramiranga (CE)",-0.1813434506158,0.0916342745184915
"Ibiapina (CE)",-0.0551458729900745,0.113811153889214
"Ipu (CE)",0.0402734879699925,0.0766210132293878
"Ipueiras (CE)",-0.175294160936171,0.151143820848804
"Itapipoca (CE)",-0.0393841610219403,0.0986890643815965
"Massapê (CE)",-0.382858509718495,0.190080572528587
"Meruoca (CE)",-0.229466407348305,0.138669212002185
"Missão Velha (CE)",-0.083273082537034,0.0962102010399882
"Mulungu (CE)",-0.287126644589413,0.0887104537430344
"Pacoti (CE)",-0.0792242313132677,0.0958471316376711
"Porteiras (CE)",0.0275795059069895,0.156489898469578
"Reriutaba (CE)",0.0384917212487706,0.112357170422097
"São Benedito (CE)",-0.105103929699435,0.0987444756223892
"Tianguá (CE)",-0.141942089090426,0.107162755743518
"Ubajara (CE)",-0.119721183391611,0.109438954277943
"Viçosa do Ceará (CE)",-0.076117347079209,0.111361528529356
"Princesa Isabel (PB)",-0.304496916863183,0.189587413300723
"Araripina (PE)",-0.0192332087647092,0.055096344247925
"Exu (PE)",0.108888458061704,0.115877893768035
"Ipubi (PE)",-0.0507038848388165,0.0501108645429358
"Itaíba (PE)",-0.0689888505830434,0.040536011706091
"Orobó (PE)",0.0605104100277624,0.0625008073806132
"Moreilândia (PE)",0.0543373054345764,0.17894435683911
"Triunfo (PE)",0.0532190816362705,0.11082023148498
"Tupanatinga (PE)",-0.0340990424307006,0.0359600338644104
"Alcobaça (BA)",1.08936572938432,0.597752865553927
"Antônio Gonçalves (BA)",0.233096489251979,0.209549566346399
"Caetité (BA)",0.073508675012487,0.162436797002587
"Campo Formoso (BA)",0.29021804466232,0.318129112988318
"Ibirapuã (BA)",0.161133054078576,0.201134737880644
"Itamaraju (BA)",1.53173135863998,0.656454498657023
"Itanhém (BA)",0.114696677653975,0.312933578175242
"Itiúba (BA)",0.374026365262049,0.182666601603025
"Jaguarari (BA)",-0.241998395617072,0.206342673367695
"Jiquiriçá (BA)",-0.0681128211498621,0.159990918228302
"Licínio de Almeida (BA)",-0.0258264135650612,0.144050508133245
"Macaúbas (BA)",0.286897650949979,0.307605080407162
"Medeiros Neto (BA)",0.0874588427029466,0.230395101717385
"Mirangaba (BA)",-0.181873065083478,0.164046284297769
"Mucuri (BA)",0.0754915813355771,0.429036753623451
"Nova Viçosa (BA)",0.131095613288113,0.26563791838466
"Pindobaçu (BA)",0.487979885862647,0.269531009446316
"Senhor do Bonfim (BA)",0.249188739678803,0.148124716386367
"Urandi (BA)",-0.034972110103301,0.154735133805587
"Bertópolis (MG)",0.437122819554633,0.202925900931918
"Brasília de Minas (MG)",-0.0665670056972049,0.28716068346056
"Comercinho (MG)",0.40001608944133,0.195089956904416
"Cordislândia (MG)",-0.0122740175407462,0.449143344924911
"Coroaci (MG)",-0.0890851067905352,0.344423554264278
"Coronel Murta (MG)",0.339683131683909,0.597643813451142
"Espinosa (MG)",0.00715496137420098,0.441907559139167
"São Gonçalo do Rio Preto (MG)",-0.494666068877745,0.706170735671102
"Itacambira (MG)",-1.44344651065364,1.12565689218132
"Itinga (MG)",0.527923856582351,0.511586947834713
"Machacalis (MG)",0.136361926374555,0.121531983336208
"Monte Azul (MG)",-0.000756655435292452,0.564236840154372
"Palma (MG)",-0.447779056768966,0.80795548320467
"Barra de São Francisco (ES)",0.0740904024125594,0.402458812112222
"Boa Esperança (ES)",-0.183750524029744,0.605492554934546
"Montanha (ES)",0.206578004010118,0.428253469078899
"Mucurici (ES)",0.170202974584285,0.454225291581649
"Nova Venécia (ES)",0.159034368240417,0.436574970897664
"Pinheiros (ES)",-0.384579741304832,0.655413891957815
"São Gabriel da Palha (ES)",0.0678965407400085,0.463428514756478
"Adamantina (SP)",-0.383311904860778,0.322870043229081
"Alfredo Marcondes (SP)",-0.301811738170937,0.39563260009438
"Álvares Machado (SP)",0.0310794321927328,0.225711925158993
"Andradina (SP)",-0.587986826778937,0.374209558258182
"Anhumas (SP)",-0.496084371830365,0.36764405970458
"Bastos (SP)",-1.12984251764815,0.436893881978673
"Bento de Abreu (SP)",-0.366309017174031,0.371431800700492
"Caiabu (SP)",0.374144788883789,0.309438090927093
"Dracena (SP)",-0.694721137237886,0.311888138093778
"Flora Rica (SP)",0.0175960689953659,0.255534930067532
"Flórida Paulista (SP)",-0.529024668466809,0.28870975943772
"Guaraçaí (SP)",-1.06922481350488,0.70320935840906
"Guzolândia (SP)",0.215749354762904,0.479622806232595
"Inúbia Paulista (SP)",-0.493066711418392,0.386926424829826
"Irapuru (SP)",-0.175663916944566,0.211269893330713
"Itapura (SP)",-0.243130344328472,0.301444940187784
"Junqueirópolis (SP)",-0.607377899840909,0.268189478077251
"Lavínia (SP)",-0.248936673978944,0.273647553101783
"Lucélia (SP)",-0.223051269976967,0.248110352924264
"Marabá Paulista (SP)",0.587052754459855,0.678760648971237
"Mariápolis (SP)",-0.979709261586025,0.44558882089517
"Mirandópolis (SP)",0.366148295046202,0.300013407231268
"Mirante do Paranapanema (SP)",-1.37655714285019,0.612746295716791
"Monte Castelo (SP)",-0.311106802633217,0.204837579485753
"Murutinga do Sul (SP)",-0.926530523734564,0.652048491473975
"Narandiba (SP)",-0.551152471773983,0.275707903830704
"Nova Guataporanga (SP)",-0.254322345347349,0.205124630253802
"Nova Independência (SP)",-0.407314830064432,0.303725994091168
"Osvaldo Cruz (SP)",0.118008648687564,0.258767902239827
"Ouro Verde (SP)",-0.514241361414728,0.216349420435381
"Pacaembu (SP)",-0.284512033423272,0.280439809337817
"Panorama (SP)",0.0173884176744603,0.209781444214433
"Parapuã (SP)",-0.230760005880481,0.31516665544811
"Paulicéia (SP)",-0.187161173974331,0.232030647571573
"Pereira Barreto (SP)",0.104000492944073,0.510134920049342
"Piacatu (SP)",-0.0280441403613128,0.264979801317966
"Pirapozinho (SP)",-0.813898819220143,0.384411545263254
"Presidente Bernardes (SP)",-0.278071156716163,0.26111155439106
"Presidente Prudente (SP)",1.07072057250944,0.458814981974808
"Presidente Venceslau (SP)",0.687321118081844,0.721497194574697
"Rinópolis (SP)",-0.473698911568427,0.423361060120297
"Rubiácea (SP)",-0.426474673036021,0.323202560719355
"Sagres (SP)",0.113804902112606,0.316617323101445
"Salmourão (SP)",-0.383613642983148,0.38921216499963
"Santa Mercedes (SP)",-0.575152916489324,0.286228013120381
"Santo Anastácio (SP)",-0.624801264101856,0.612292754231469
"Santo Expedito (SP)",-0.244780345033679,0.354641698593146
"São João do Pau d'Alho (SP)",-0.196937786412883,0.208253857722762
"Sud Mennucci (SP)",0.132959239939911,0.445996938070223
"Tarabai (SP)",-0.393508656638144,0.276705806435405
"Teodoro Sampaio (SP)",-0.0170117020815738,0.224282703944394
"Tupi Paulista (SP)",-0.80729273243502,0.286201750247674
"Valparaíso (SP)",-0.889095535644772,0.361740331071976
"Altônia (PR)",-0.0194419098183774,0.258269917109537
"Alto Paraná (PR)",-0.613949427522507,0.407345038172597
"Alto Piquiri (PR)",-0.466365000495408,0.50425252495714
"Amaporã (PR)",-0.322824708111704,0.238997725859755
"Cafeara (PR)",-0.636631697781121,0.636939834377333
"Centenário do Sul (PR)",-0.817104152182042,0.471050561087496
"Céu Azul (PR)",-0.607383646763421,0.707846912422381
"Cidade Gaúcha (PR)",0.00831407121830473,0.214168370097993
"Colorado (PR)",-0.77479086295264,0.264026430674315
"Cruzeiro do Oeste (PR)",-0.751697610283204,0.293532155083158
"Cruzeiro do Sul (PR)",-0.758656650118726,0.51793742227163
"Diamante do Norte (PR)",0.0958203878862667,0.188509761305682
