"region","estimate","stderr"
"Doutor Camargo (PR)",-0.151137598316957,0.369382792712482
"Floraí (PR)",-0.926642412307324,0.487932280486454
"Formosa do Oeste (PR)",-0.356629698040028,0.461487423849543
"Francisco Alves (PR)",0.0479048706271461,0.211737897442717
"Goioerê (PR)",0.355828132181279,0.422688700816825
"Guaíra (PR)",0.260039218993744,0.466187977236845
"Guairaçá (PR)",-0.116148048114566,0.378523819758631
"Guaporema (PR)",-0.121775230614471,0.275668974398589
"Icaraíma (PR)",0.198851969659014,0.183060198926976
"Inajá (PR)",-0.112290855988844,0.311633098218524
"Indianópolis (PR)",-0.330285796660123,0.262520772465429
"Iporã (PR)",-0.076557357176771,0.22081119159494
"Itaguajé (PR)",-0.946853382030953,0.497047333532279
"Itaúna do Sul (PR)",-0.0653018925386512,0.175544417114515
"Ivatuba (PR)",0.863917248385144,0.444668417407637
"Japurá (PR)",-0.0810396192347555,0.276315018991502
"Jardim Olinda (PR)",-0.652536514261063,0.476923140644259
"Loanda (PR)",-0.0330527014235979,0.143299288566981
"Lupionópolis (PR)",-0.434465110047059,0.592952811252422
"Maria Helena (PR)",0.103547075808842,0.186275984638676
"Marilena (PR)",-0.114009984504081,0.159312320405755
"Mariluz (PR)",-0.707817478206905,0.265968609852489
"Matelândia (PR)",-0.311240714029623,0.582899802510501
"Medianeira (PR)",0.163835092971778,0.351981207901977
"Mirador (PR)",-0.189376096739264,0.267916776573021
"Moreira Sales (PR)",-0.271916223107565,0.373595366412296
"Nova Aliança do Ivaí (PR)",-0.139282175023244,0.355007862656041
"Nova Esperança (PR)",-0.515830461925964,0.421847204002118
"Nova Londrina (PR)",-0.0938706189925546,0.193954812968118
"Nova Olímpia (PR)",-0.0218262060572969,0.162866812303023
"Ourizona (PR)",-0.453775461612437,0.54326234928212
"Palotina (PR)",0.018868927634084,0.986562041244026
"Paraíso do Norte (PR)",-0.463225541825414,0.293583910679379
"Paranacity (PR)",-0.146902201382785,0.196057466149599
"Paranapoema (PR)",0.0215886691182773,0.361241583387169
"Paranavaí (PR)",-0.161402018627756,0.225555334373263
"Pérola (PR)",-0.0241220197310806,0.245710485143852
"Planaltina do Paraná (PR)",-0.0884112312705136,0.156593239768926
"Porecatu (PR)",-0.358737166189655,0.614257719641948
"Porto Rico (PR)",-0.0399457196554095,0.176241449213596
"Presidente Castelo Branco (PR)",-0.109060966826331,0.347677177731272
"Querência do Norte (PR)",-0.0856713459790769,0.164358626315471
"Rondon (PR)",-0.215881953445803,0.222886732006515
"Santa Cruz de Monte Castelo (PR)",-0.263466799535632,0.174794494705746
"Santa Helena (PR)",-0.677130541598706,0.462639481083144
"Santa Inês (PR)",-1.39719612872729,0.528124300997325
"Santa Isabel do Ivaí (PR)",0.302505110778977,0.212485793108061
"Santo Antônio do Caiuá (PR)",0.0523184967816415,0.344747027459769
"Santo Inácio (PR)",0.214054947308549,0.469420721713259
"São Carlos do Ivaí (PR)",-0.158694767241602,0.37988213215907
"São João do Caiuá (PR)",-0.138888378613354,0.267172648398052
"São Jorge do Ivaí (PR)",-0.0647936169298828,0.401855609223484
"São Pedro do Paraná (PR)",-0.136640074729586,0.148551311041571
"São Tomé (PR)",-0.129398113873919,0.296964540405037
"Tamboara (PR)",0.148663930531125,0.39332804276305
"Tapejara (PR)",-0.0495287129475564,0.363632123152666
"Tapira (PR)",0.0556178713790406,0.191784350171778
"Terra Rica (PR)",0.177204408498188,0.227143323339609
"Terra Roxa (PR)",-0.300505840439864,0.357887575507742
"Toledo (PR)",-0.141645964581914,0.381763684964002
"Umuarama (PR)",-0.561234830492106,0.308512922035715
"Xambrê (PR)",-0.123469181439223,0.209941184502791
"Amambai (MS)",-0.592892886462227,0.132571386591738
"Anastácio (MS)",-0.241069068991815,0.221719576844091
"Anaurilândia (MS)",-0.781897074264098,0.238596847709567
"Angélica (MS)",0.0803527559563209,0.245742811786558
"Batayporã (MS)",0.102703030986975,0.288418317880148
"Bonito (MS)",0.647696145930857,0.476783844571481
"Caarapó (MS)",-1.00304563056227,0.346647591527911
"Camapuã (MS)",0.378218914767662,0.831423779117822
"Campo Grande (MS)",-0.793582628896831,0.717490674704784
"Caracol (MS)",1.5918717331173,0.852394497556992
"Deodápolis (MS)",-0.0320420037136605,0.189054926716665
"Dourados (MS)",-0.212648326427486,0.0599425570938446
"Eldorado (MS)",0.187182525684396,0.229040249944047
"Fátima do Sul (MS)",-0.243720587620707,0.174533263729405
"Glória de Dourados (MS)",0.0831131893223234,0.161129797228166
"Iguatemi (MS)",0.064195552925422,0.284501062063553
"Itaporã (MS)",-0.20969761322657,0.967443782141259
"Ivinhema (MS)",-0.215378812663402,0.266198365149057
"Jateí (MS)",-2.27146624305275,1.46903408549677
"Miranda (MS)",-0.0427500865138908,0.129150622752864
"Mundo Novo (MS)",0.0272464505306856,0.377153944839751
"Naviraí (MS)",0.122746335834065,0.207852816577617
"Nova Andradina (MS)",-0.197911951753567,0.246206446582389
"Porto Murtinho (MS)",1.37497920447234,0.530728942168892
"Rio Negro (MS)",0.0883202173194037,0.0436373162113595
"Sidrolândia (MS)",-0.209161306940804,0.72080355855215
"Terenos (MS)",0.743347345290439,0.991883378386533
"Três Lagoas (MS)",-0.169650480665864,0.270905988770732
"Cáceres (MT)",-0.0731311786407881,0.186580113716067
"Vila Bela da Santíssima Trindade (MT)",0.498633366104484,0.152004801208072
"Mirassol d'Oeste (MT)",-0.0797614692845374,0.269357335124482
"Niquelândia (GO)",0.0194049186860316,0.517596405274738
"Axixá (MA)",-0.262290074236862,0.132506097782837
"Barbalha (CE)",0.277228854213511,0.213138154020984
"Crato (CE)",0.0852030725231644,0.0879581762374294
"Jardim (CE)",-0.101975324628557,0.140954965439413
"Lajedão (BA)",0.0568013037575758,0.2136553885654
"Bodoquena (MS)",-0.140180155475571,0.107481866234835
"São Gabriel do Oeste (MS)",-0.432844808532778,1.98231047019688
"Sete Quedas (MS)",0.535949771654702,0.535908397305543
"Taquarussu (MS)",0.100010062790702,0.0600197066680557
"Pedra Preta (MT)",1.64326052558829,1.51316162939191
"São José dos Quatro Marcos (MT)",-0.0277197740753238,0.169157243283283
"Rondonópolis (MT)",0.659327985390561,0.287214226421014
"Salto do Céu (MT)",-0.0830161537372049,0.196122603564883
"Aquidauana (MS)",0.196306772682697,0.300037268691137
"Prainha (PA)",0.104089793950126,0.129169252682146
"Douradina (PR)",0.0777235648698419,0.225512313561221
"Missal (PR)",0.0683823966836909,0.994804016979164
"São Jorge do Patrocínio (PR)",0.0655155695021107,0.325174006723745
"Vera Cruz do Oeste (PR)",-1.01660709370244,0.939786428515009
"Itaquiraí (MS)",0.655769668393171,0.328540918197446
"Rochedo (MS)",-0.108772456998578,0.286084960630666
"Tacuru (MS)",0.0377554716924163,0.330594049254753
"Nortelândia (MT)",0.000716886605760714,0.223439978153761
"Paragominas (PA)",-0.466683777433977,0.189655451706528
"Manaíra (PB)",0.354871761066146,0.248215798627303
"Caravelas (BA)",0.0988866560582215,0.323035900703611
"Brasilândia (MS)",-0.410965676933253,0.271810113658372
"Pedro Canário (ES)",0.423631599700914,0.299130770322809
"Teixeira de Freitas (BA)",0.229321821658652,0.23311464534969
"Figueirópolis D'Oeste (MT)",-0.00973331766527816,0.191585232471372
"Abaiara (CE)",0.033817690676685,0.119901856838141
"Capistrano (CE)",-0.0122560764151376,0.0729428047959337
"Itapajé (CE)",-0.628201215943148,0.277386351914438
"Maranguape (CE)",-0.0191482280209234,0.174247174660485
"Palmácia (CE)",-0.126818699633607,0.0996096957418212
"Redenção (CE)",-0.0763492839999065,0.0835459506148766
"Uruburetama (CE)",-0.448177135095058,0.178113875771639
"Abaetetuba (PA)",-0.131379478931628,0.0913809976181464
"Acará (PA)",-0.166706514437616,0.153169892021184
"Alenquer (PA)",0.185956724631606,0.15020688303249
"Baião (PA)",0.080144024874179,0.099805118466055
"Cametá (PA)",0.105501395131301,0.113426659507896
"Colares (PA)",-0.0542483497466667,0.0806988838068244
"Maracanã (PA)",0.103034653177229,0.0765333683667469
"Mocajuba (PA)",0.157624764825259,0.291720793411391
"Monte Alegre (PA)",-0.178434636948309,0.215334984494882
"Oeiras do Pará (PA)",-0.0728280776365863,0.154172513195795
"Santo Antônio do Tauá (PA)",0.104694048919399,0.125623816710682
"Vigia (PA)",-0.136353115901007,0.386090422008739
"Croatá (CE)",-0.0929436426785626,0.136992586738935
"Guaiúba (CE)",0.00352188333050496,0.0374252711125138
"Itapiúna (CE)",0.00801252387368435,0.108305612489779
"Mirabela (MG)",0.546015861722147,0.422323009907303
"Nanuque (MG)",-1.84857438927898,0.550397764803459
"Águia Branca (ES)",-0.0342634200068324,0.604434234936064
"Dois Irmãos do Buriti (MS)",-0.0748739140419369,0.652680346421615
"Vereda (BA)",0.615074423122105,0.57670331321487
"Vicentina (MS)",0.0868769094396861,0.300967571938
"Barreirinha (AM)",-0.215429951283939,1.0904335241604
"Itacoatiara (AM)",0.210720672687759,0.310554564061003
"Irituia (PA)",0.015203120169922,0.180299755054801
"Terra Santa (PA)",0.173726940731057,0.0942333904334956
"Santa Cruz da Baixa Verde (PE)",0.12987363393345,0.133767235789257
"Igaporã (BA)",0.0386278056585179,0.154727422965786
"São Domingos do Norte (ES)",0.31868545394842,0.617844584130235
"Vila Pavão (ES)",-0.0822788655850727,0.574115596781066
"Rosana (SP)",0.306196050646158,0.241643349955768
"Cafezal do Sul (PR)",-0.465723396430134,0.232846312409849
"Ivaté (PR)",-0.0869332479254806,0.215818679479051
"Rancho Alegre D'Oeste (PR)",1.02975949303068,0.92052339599833
"São Manoel do Paraná (PR)",-0.453290607322589,0.322804616932526
"Japorã (MS)",0.177458038441081,0.468393368022254
"Novo Horizonte do Sul (MS)",0.111567441352367,0.242002459478713
"Glória D'Oeste (MT)",0.100476446481272,0.119965223999253
"Lambari D'Oeste (MT)",0.0474740183054341,0.100878359799808
"Porto Estrela (MT)",0.150604823951382,0.166074591072928
"Carnaubal (CE)",-0.175026202981249,0.140021634353597
"Graça (CE)",-0.718812649266716,0.184549664054922
"Itatira (CE)",0.26216397191863,0.150592755103341
"Buritizeiro (MG)",-0.289636928754844,1.27432701678351
"Porto Esperidião (MT)",-0.00475560513356204,0.151710332626551
"Belterra (PA)",0.226118049318794,0.203751682979457
"São João da Ponta (PA)",-0.00613303666998213,0.0890733251873962
"Tomé-Açu (PA)",0.273069784319522,0.571927356355139
"São José de Princesa (PB)",0.783065313417125,0.810364319045219
"Cocos (BA)",-0.84844881579128,1.10930301575697
"Cônego Marinho (MG)",0.508387821551139,0.673108278344164
"São João do Pacuí (MG)",0.498586970515291,0.55675152159498
"Ponto Belo (ES)",0.314396137233293,0.291400965306536
"Sooretama (ES)",0.189589356081472,0.459119930439934
"Vila Valério (ES)",0.100387451879674,0.5858403136869
"Esperança Nova (PR)",0.05774275456467,0.229378323392798
"Perobal (PR)",-0.392478723993568,0.466157754847936
"Urucuia (MG)",-1.22798319891453,0.646074560282253
"Quarto Centenário (PR)",-0.187953129209039,0.236386119057295
"Santa Terezinha de Itaipu (PR)",-0.0614949657081568,0.280588576288051
"Coronel Sapucaia (MS)",-1.06635151726593,0.803473709938888
"Pedro Gomes (MS)",-0.282524889301039,0.012804017538567
"Ibiaí (MG)",-1.89766120386798,1.39913297867622
"Santo Antônio do Leverger (MT)",0.280532363747086,1.06665327853534
"Patis (MG)",1.8021371595317,0.757022766841698
"Alcinópolis (MS)",-0.269733771713594,0.141568983692352
"Moju (PA)",-0.0387582609777284,0.165161012537941
"Luís Eduardo Magalhães (BA)",-0.101303033421545,0.496491220414789
"Ibititá (BA)",-1.38637848812419,0.576580433870445
"Irecê (BA)",0.12663229308639,0.390898666700896
"Lapão (BA)",0.0966494798765281,0.195449333350449
"São Gabriel (BA)",0.189948439629584,0.586348000051346
"Uibaí (BA)",0.310514716777689,0.180074574094356
"São Miguel do Guamá (PA)",-0.0346064932693287,0.125672380497407
"Pirapora (MG)",0.418347152354792,1.09001540923944
"Nova Marilândia (MT)",0.105809017785623,0.145852252336912
"Ibipeba (BA)",0.317544433094401,0.137109722381605
"Jaíba (MG)",-3.41954684314905,1.08517813434784
"Paranhos (MS)",0.133189539987681,0.226593732683411
"Várzea da Palma (MG)",0.00559675074378637,1.29424995026799
"Ipixuna do Pará (PA)",-0.0742882965109376,0.132687245670805
"Matias Cardoso (MG)",1.75624908906419,0.854132871984003
"Serra Dourada (BA)",3.43031292995524,0.881369721198663
"Nova Porteirinha (MG)",-0.0263737684345618,0.692962122514848
"Coribe (BA)",3.58497767623881,1.14462406325415
"Paraíso das Águas (MS)",0.387644124099604,0.157599853659975
